Команда,Поточний рейтинг,Гра 1 Результат,Гра 1 Місце,Гра 1 μ,Гра 1 σ,Гра 1 Рейтинг,Гра 2 Результат,Гра 2 Місце,Гра 2 μ,Гра 2 σ,Гра 2 Рейтинг,Гра 3 Результат,Гра 3 Місце,Гра 3 μ (×2),Гра 3 σ (×2),Гра 3 Рейтинг (×2)
Смажені цвяхи,1352.23,23,10,42.2584,7.0016,1141.28,30,3,64.1412,6.0202,1260.50,37,4,81.0179,5.2857,1352.23
Lorem United,1345.99,28,1,55.6816,7.0016,1208.39,30,3,74.0817,6.0699,1309.71,33,9,79.8836,5.3429,1345.99
Номер 6,1343.91,28,1,55.6816,7.0016,1208.39,28,14,64.0849,6.0699,1259.73,36,6,79.4153,5.3163,1343.91
Lorem City,1335.17,22,16,37.7840,7.0016,1118.90,29,7,55.8601,6.0101,1219.20,39,2,77.5514,5.2591,1335.17
Мінус один,1333.37,27,4,53.1248,7.0016,1195.61,27,18,58.9972,6.0584,1234.40,37,4,77.2664,5.2958,1333.37
Nervous Energy,1331.85,24,7,48.0112,7.0016,1170.04,29,7,63.3831,6.0381,1256.53,34,7,76.9540,5.2917,1331.85
Яка вам різниця?,1323.22,21,17,33.9488,7.0016,1099.73,34,1,61.2330,6.0042,1246.12,34,7,75.1718,5.2634,1323.22
Kéisécker,1321.74,23,10,42.2584,7.0016,1141.28,,,,,,40,1,75.9880,5.8198,1321.74
Зненацька,1298.16,,,,,,,,,,,38,3,72.4709,6.4193,1298.16
Сливки - Форс-Мажор,1295.31,26,5,51.2072,7.0016,1186.02,28,14,60.7525,6.0503,1243.26,33,9,69.6361,5.2874,1295.31
seꑭes,1284.62,28,1,55.6816,7.0016,1208.39,,,,,,33,9,68.5963,5.8359,1284.62
Капітан Джек,1258.18,23,10,42.2584,7.0016,1141.28,27,18,50.9636,6.0202,1194.62,33,9,62.1297,5.2466,1258.18
Балабеники,1251.31,19,26,21.8040,7.0016,1039.00,30,3,49.1818,6.0031,1185.88,33,9,60.7274,5.2328,1251.31
Дракони Ймовірності,1246.55,21,17,33.9488,7.0016,1099.73,32,2,60.3241,6.0042,1241.58,31,18,59.8089,5.2495,1246.55
Автопілот,1241.99,23,10,42.2584,7.0016,1141.28,29,7,59.1428,6.0202,1235.51,31,18,58.9119,5.2571,1241.99
Примати,1235.38,26,5,51.2072,7.0016,1186.02,,,,,,32,16,58.7087,5.8164,1235.38
Гря хм гагага,1223.82,20,22,28.1960,7.0016,1070.96,29,7,48.8515,6.0003,1184.25,32,16,55.2193,5.2279,1223.82
Мавпочка змерзла,1210.68,21,17,33.9488,7.0016,1099.73,,,,,,33,9,53.7303,5.7974,1210.68
Каїсса - Дикий Сад,1209.38,,,,,,,,,,,33,9,54.6809,6.4023,1209.38
В'язні міста ІФ,1203.41,20,22,28.1960,7.0016,1070.96,29,7,48.8515,6.0003,1184.25,31,18,51.1348,5.2262,1203.41
ХХХ,1175.00,24,7,48.0112,7.0016,1170.04,29,7,63.3831,6.0381,1256.53,24,34,45.5379,5.2686,1175.00
Кокаїнові бегемотики,1173.90,24,7,48.0112,7.0016,1170.04,26,21,52.0247,6.0381,1199.74,28,27,45.2817,5.2513,1173.90
Гладке Тигреня,1155.99,16,36,11.5768,7.0016,987.87,30,3,41.6869,6.0228,1148.21,30,23,41.6643,5.2329,1155.99
LaTerna,1153.12,18,32,16.6904,7.0016,1013.44,28,14,35.4437,6.0107,1117.11,31,18,41.0717,5.2242,1153.12
Finntrolls,1147.64,21,17,33.9488,7.0016,1099.73,23,30,33.9863,6.0042,1109.89,31,18,39.9677,5.2203,1147.64
Склад фʼючерсної свинини,1141.28,23,10,42.2584,7.0016,1141.28,,,,,,,,,,
Забобонні бонобо,1133.48,20,22,28.1960,7.0016,1070.96,29,7,48.8515,6.0003,1184.25,25,31,37.1405,5.2224,1133.48
Пернатонога Кукумявка,1130.74,,,,,,26,21,39.3383,6.5957,1130.74,,,,,
Who knew?,1111.76,19,26,21.8040,7.0016,1039.00,28,14,39.1850,6.0031,1135.89,26,29,32.7917,5.2196,1111.76
Квартира № 29,1111.51,,,,,,25,25,35.4942,6.5957,1111.51,,,,,
Соснова шишечка,1111.19,19,26,21.8040,7.0016,1039.00,26,21,32.8249,6.0031,1104.09,29,25,32.6796,5.2204,1111.19
Захидный полюс,1099.73,21,17,33.9488,7.0016,1099.73,,,,,,,,,,
Збірна імені Патріка Стара,1095.52,,,,,,24,27,32.2960,6.5957,1095.52,,,,,
Легіон,1095.52,,,,,,24,27,32.2960,6.5957,1095.52,,,,,
Черкаське FIDO,1095.52,,,,,,24,27,32.2960,6.5957,1095.52,,,,,
Одиночество в SETI (м. Одеса),1089.99,23,10,42.2584,7.0016,1141.28,22,33,37.3522,6.0202,1126.56,25,31,28.4601,5.2308,1089.99
БТВ,1076.33,,,,,,23,30,28.4564,6.5957,1076.33,,,,,
Цинiчнi бандери,1074.99,19,26,21.8040,7.0016,1039.00,21,36,20.1239,6.0031,1040.59,30,23,25.4638,5.2330,1074.99
