Команда,Результат,Місце
Гря хм гагага,24,1
Nervous Energy,22,2
Мінус один,22,2
Смажені цвяхи,20,4
Drakony Jmovirnosti,20,4
Яка вам різниця?,19,6
LaTerna,19,6
Балабеники,18,8
Номер 6,18,8
Західний полюс,16,10
Lorem City,16,10
Кокаїнові бегемотики,16,10
Lorem United,15,13
Цинiчнi бандери,15,13
Mamihlapinatapai,14,15
Keisecker,14,15
Атол Бікіні Боттом,14,15
Гладке Тигреня,14,15
Одиночество в SETI (м. Одеса),14,15
СФМ,14,15
ХХХ,14,15
Beit Grand - Аборигены,14,15
Who knew?,13,23
Finntrolls,13,23
В'язні міста Іф,13,23
Квартира № 29,13,23
Душніли Юнайтед,12,27
Капитан Джек,11,28
Сосновая шишечка,11,28
Генератор случайных слов,11,28
Highlander,11,28
Забобонні бонобо,11,28
Автопилот,11,28
ЩДКоти,10,34
Прозорі Зззумери,10,34
Вскуйовджені Хохулі,10,34
GOL,10,34
Злобные Урук-хай,9,38
Тореадори з Країни Сонячних Зайчиків,9,38
Харківська весільна слононіжка,9,38
Льолік і Болік,8,41
This is Sparжааа,8,41
Де Лореан?,8,41
Легіон,8,41
Етанол Краси,5,45
БЗ,5,45
Принципові Пофігісти,4,47
ДНК,4,47
Команда №2,4,47
В пошуках Дорі,3,50
Rule34,0,51
